#GC	scaffolds	fraction	length	len_fraction
0.000	0	0.00000	0	0.00000
0.005	0	0.00000	0	0.00000
0.010	0	0.00000	0	0.00000
0.015	0	0.00000	0	0.00000
0.020	0	0.00000	0	0.00000
0.025	0	0.00000	0	0.00000
0.030	0	0.00000	0	0.00000
0.035	0	0.00000	0	0.00000
0.040	0	0.00000	0	0.00000
0.045	0	0.00000	0	0.00000
0.050	0	0.00000	0	0.00000
0.055	0	0.00000	0	0.00000
0.060	0	0.00000	0	0.00000
0.065	0	0.00000	0	0.00000
0.070	0	0.00000	0	0.00000
0.075	0	0.00000	0	0.00000
0.080	0	0.00000	0	0.00000
0.085	0	0.00000	0	0.00000
0.090	0	0.00000	0	0.00000
0.095	0	0.00000	0	0.00000
0.100	0	0.00000	0	0.00000
0.105	0	0.00000	0	0.00000
0.110	0	0.00000	0	0.00000
0.115	0	0.00000	0	0.00000
0.120	0	0.00000	0	0.00000
0.125	0	0.00000	0	0.00000
0.130	0	0.00000	0	0.00000
0.135	0	0.00000	0	0.00000
0.140	0	0.00000	0	0.00000
0.145	0	0.00000	0	0.00000
0.150	0	0.00000	0	0.00000
0.155	0	0.00000	0	0.00000
0.160	0	0.00000	0	0.00000
0.165	0	0.00000	0	0.00000
0.170	0	0.00000	0	0.00000
0.175	0	0.00000	0	0.00000
0.180	0	0.00000	0	0.00000
0.185	0	0.00000	0	0.00000
0.190	0	0.00000	0	0.00000
0.195	0	0.00000	0	0.00000
0.200	0	0.00000	0	0.00000
0.205	0	0.00000	0	0.00000
0.210	0	0.00000	0	0.00000
0.215	0	0.00000	0	0.00000
0.220	0	0.00000	0	0.00000
0.225	0	0.00000	0	0.00000
0.230	1	0.00200	7698	0.00667
0.235	0	0.00000	0	0.00000
0.240	0	0.00000	0	0.00000
0.245	0	0.00000	0	0.00000
0.250	0	0.00000	0	0.00000
0.255	0	0.00000	0	0.00000
0.260	1	0.00200	2094	0.00181
0.265	0	0.00000	0	0.00000
0.270	2	0.00400	2412	0.00209
0.275	1	0.00200	1060	0.00092
0.280	1	0.00200	1137	0.00098
0.285	0	0.00000	0	0.00000
0.290	2	0.00400	3132	0.00271
0.295	1	0.00200	1296	0.00112
0.300	4	0.00800	4869	0.00422
0.305	5	0.01000	27517	0.02383
0.310	2	0.00400	4022	0.00348
0.315	3	0.00600	6589	0.00571
0.320	5	0.01000	10705	0.00927
0.325	1	0.00200	1103	0.00096
0.330	3	0.00600	5645	0.00489
0.335	2	0.00400	2583	0.00224
0.340	5	0.01000	9149	0.00792
0.345	5	0.01000	7089	0.00614
0.350	2	0.00400	5877	0.00509
0.355	6	0.01200	11419	0.00989
0.360	4	0.00800	5513	0.00477
0.365	2	0.00400	3342	0.00289
0.370	8	0.01600	13552	0.01173
0.375	6	0.01200	16178	0.01401
0.380	3	0.00600	13923	0.01206
0.385	3	0.00600	3739	0.00324
0.390	1	0.00200	1434	0.00124
0.395	3	0.00600	5517	0.00478
0.400	6	0.01200	7886	0.00683
0.405	5	0.01000	11357	0.00983
0.410	5	0.01000	9025	0.00781
0.415	9	0.01800	19329	0.01674
0.420	8	0.01600	11477	0.00994
0.425	12	0.02400	17109	0.01481
0.430	5	0.01000	9846	0.00853
0.435	10	0.02000	19735	0.01709
0.440	15	0.03000	24601	0.02130
0.445	9	0.01800	17641	0.01527
0.450	9	0.01800	22012	0.01906
0.455	15	0.03000	35413	0.03066
0.460	11	0.02200	33699	0.02918
0.465	7	0.01400	17872	0.01547
0.470	10	0.02000	23532	0.02038
0.475	6	0.01200	11961	0.01036
0.480	7	0.01400	14294	0.01238
0.485	11	0.02200	27414	0.02374
0.490	7	0.01400	14228	0.01232
0.495	7	0.01400	15927	0.01379
0.500	13	0.02600	21066	0.01824
0.505	11	0.02200	37293	0.03229
0.510	7	0.01400	28621	0.02478
0.515	8	0.01600	39081	0.03384
0.520	8	0.01600	28161	0.02438
0.525	10	0.02000	23334	0.02020
0.530	6	0.01200	9118	0.00789
0.535	4	0.00800	19367	0.01677
0.540	11	0.02200	25435	0.02202
0.545	5	0.01000	43911	0.03802
0.550	8	0.01600	24057	0.02083
0.555	6	0.01200	10916	0.00945
0.560	4	0.00800	7989	0.00692
0.565	4	0.00800	6864	0.00594
