#GC	scaffolds	fraction	length	len_fraction
0.000	0	0.00000	0	0.00000
0.005	0	0.00000	0	0.00000
0.010	0	0.00000	0	0.00000
0.015	0	0.00000	0	0.00000
0.020	0	0.00000	0	0.00000
0.025	0	0.00000	0	0.00000
0.030	0	0.00000	0	0.00000
0.035	0	0.00000	0	0.00000
0.040	0	0.00000	0	0.00000
0.045	0	0.00000	0	0.00000
0.050	0	0.00000	0	0.00000
0.055	0	0.00000	0	0.00000
0.060	0	0.00000	0	0.00000
0.065	0	0.00000	0	0.00000
0.070	0	0.00000	0	0.00000
0.075	0	0.00000	0	0.00000
0.080	0	0.00000	0	0.00000
0.085	0	0.00000	0	0.00000
0.090	0	0.00000	0	0.00000
0.095	0	0.00000	0	0.00000
0.100	0	0.00000	0	0.00000
0.105	0	0.00000	0	0.00000
0.110	0	0.00000	0	0.00000
0.115	0	0.00000	0	0.00000
0.120	0	0.00000	0	0.00000
0.125	0	0.00000	0	0.00000
0.130	0	0.00000	0	0.00000
0.135	0	0.00000	0	0.00000
0.140	0	0.00000	0	0.00000
0.145	0	0.00000	0	0.00000
0.150	0	0.00000	0	0.00000
0.155	0	0.00000	0	0.00000
0.160	0	0.00000	0	0.00000
0.165	0	0.00000	0	0.00000
0.170	0	0.00000	0	0.00000
0.175	0	0.00000	0	0.00000
0.180	0	0.00000	0	0.00000
0.185	0	0.00000	0	0.00000
0.190	0	0.00000	0	0.00000
0.195	0	0.00000	0	0.00000
0.200	0	0.00000	0	0.00000
0.205	0	0.00000	0	0.00000
0.210	0	0.00000	0	0.00000
0.215	0	0.00000	0	0.00000
0.220	0	0.00000	0	0.00000
0.225	0	0.00000	0	0.00000
0.230	0	0.00000	0	0.00000
0.235	0	0.00000	0	0.00000
0.240	0	0.00000	0	0.00000
0.245	0	0.00000	0	0.00000
0.250	0	0.00000	0	0.00000
0.255	0	0.00000	0	0.00000
0.260	0	0.00000	0	0.00000
0.265	0	0.00000	0	0.00000
0.270	0	0.00000	0	0.00000
0.275	1	0.00200	2582	0.00223
0.280	0	0.00000	0	0.00000
0.285	0	0.00000	0	0.00000
0.290	1	0.00200	8056	0.00695
0.295	5	0.01000	9221	0.00796
0.300	4	0.00800	7289	0.00629
0.305	2	0.00400	3682	0.00318
0.310	3	0.00600	4079	0.00352
0.315	1	0.00200	1762	0.00152
0.320	2	0.00400	2373	0.00205
0.325	4	0.00800	6189	0.00534
0.330	1	0.00200	1364	0.00118
0.335	4	0.00800	5046	0.00436
0.340	4	0.00800	7081	0.00611
0.345	3	0.00600	5138	0.00444
0.350	3	0.00600	11577	0.00999
0.355	5	0.01000	27590	0.02382
0.360	2	0.00400	2585	0.00223
0.365	4	0.00800	8783	0.00758
0.370	3	0.00600	3748	0.00324
0.375	5	0.01000	9456	0.00816
0.380	6	0.01200	15989	0.01380
0.385	8	0.01600	14958	0.01291
0.390	12	0.02400	22756	0.01965
0.395	9	0.01800	15381	0.01328
0.400	14	0.02800	27866	0.02406
0.405	10	0.02000	15121	0.01305
0.410	7	0.01400	19828	0.01712
0.415	10	0.02000	16690	0.01441
0.420	15	0.03000	24792	0.02140
0.425	14	0.02800	28946	0.02499
0.430	13	0.02600	27851	0.02404
0.435	16	0.03200	38967	0.03364
0.440	9	0.01800	24004	0.02072
0.445	12	0.02400	34931	0.03016
0.450	11	0.02200	45316	0.03912
0.455	15	0.03000	35891	0.03099
0.460	11	0.02200	20184	0.01743
0.465	4	0.00800	11080	0.00957
0.470	13	0.02600	47929	0.04138
0.475	9	0.01800	19291	0.01665
0.480	7	0.01400	32742	0.02827
0.485	7	0.01400	13604	0.01174
0.490	9	0.01800	20690	0.01786
0.495	4	0.00800	8988	0.00776
0.500	1	0.00200	1070	0.00092
0.505	4	0.00800	6246	0.00539
0.510	8	0.01600	31470	0.02717
0.515	10	0.02000	20579	0.01777
0.520	4	0.00800	17092	0.01476
0.525	3	0.00600	5507	0.00475
0.530	4	0.00800	8718	0.00753
0.535	5	0.01000	13166	0.01137
0.540	6	0.01200	10929	0.00944
0.545	6	0.01200	10232	0.00883
0.550	8	0.01600	13458	0.01162
0.555	7	0.01400	12033	0.01039
0.560	2	0.00400	4493	0.00388
0.565	7	0.01400	14449	0.01247
