#GC	scaffolds	fraction	length	len_fraction
0.000	0	0.00000	0	0.00000
0.005	0	0.00000	0	0.00000
0.010	0	0.00000	0	0.00000
0.015	0	0.00000	0	0.00000
0.020	0	0.00000	0	0.00000
0.025	0	0.00000	0	0.00000
0.030	0	0.00000	0	0.00000
0.035	0	0.00000	0	0.00000
0.040	0	0.00000	0	0.00000
0.045	0	0.00000	0	0.00000
0.050	0	0.00000	0	0.00000
0.055	0	0.00000	0	0.00000
0.060	0	0.00000	0	0.00000
0.065	0	0.00000	0	0.00000
0.070	0	0.00000	0	0.00000
0.075	0	0.00000	0	0.00000
0.080	0	0.00000	0	0.00000
0.085	0	0.00000	0	0.00000
0.090	0	0.00000	0	0.00000
0.095	0	0.00000	0	0.00000
0.100	0	0.00000	0	0.00000
0.105	0	0.00000	0	0.00000
0.110	0	0.00000	0	0.00000
0.115	0	0.00000	0	0.00000
0.120	0	0.00000	0	0.00000
0.125	0	0.00000	0	0.00000
0.130	0	0.00000	0	0.00000
0.135	0	0.00000	0	0.00000
0.140	0	0.00000	0	0.00000
0.145	0	0.00000	0	0.00000
0.150	0	0.00000	0	0.00000
0.155	0	0.00000	0	0.00000
0.160	0	0.00000	0	0.00000
0.165	0	0.00000	0	0.00000
0.170	0	0.00000	0	0.00000
0.175	0	0.00000	0	0.00000
0.180	0	0.00000	0	0.00000
0.185	0	0.00000	0	0.00000
0.190	0	0.00000	0	0.00000
0.195	0	0.00000	0	0.00000
0.200	0	0.00000	0	0.00000
0.205	0	0.00000	0	0.00000
0.210	0	0.00000	0	0.00000
0.215	0	0.00000	0	0.00000
0.220	0	0.00000	0	0.00000
0.225	0	0.00000	0	0.00000
0.230	0	0.00000	0	0.00000
0.235	0	0.00000	0	0.00000
0.240	1	0.02778	2279	0.03447
0.245	0	0.00000	0	0.00000
0.250	0	0.00000	0	0.00000
0.255	0	0.00000	0	0.00000
0.260	0	0.00000	0	0.00000
0.265	2	0.05556	3043	0.04602
0.270	2	0.05556	3302	0.04994
0.275	1	0.02778	1123	0.01698
0.280	0	0.00000	0	0.00000
0.285	0	0.00000	0	0.00000
0.290	0	0.00000	0	0.00000
0.295	1	0.02778	1020	0.01543
0.300	1	0.02778	1261	0.01907
0.305	1	0.02778	6451	0.09756
0.310	0	0.00000	0	0.00000
0.315	4	0.11111	8225	0.12439
0.320	1	0.02778	1281	0.01937
0.325	2	0.05556	6992	0.10574
0.330	1	0.02778	1400	0.02117
0.335	1	0.02778	2473	0.03740
0.340	1	0.02778	1565	0.02367
0.345	0	0.00000	0	0.00000
0.350	0	0.00000	0	0.00000
0.355	0	0.00000	0	0.00000
0.360	1	0.02778	1109	0.01677
0.365	0	0.00000	0	0.00000
0.370	0	0.00000	0	0.00000
0.375	0	0.00000	0	0.00000
0.380	0	0.00000	0	0.00000
0.385	0	0.00000	0	0.00000
0.390	0	0.00000	0	0.00000
0.395	0	0.00000	0	0.00000
0.400	0	0.00000	0	0.00000
0.405	0	0.00000	0	0.00000
0.410	0	0.00000	0	0.00000
0.415	0	0.00000	0	0.00000
0.420	0	0.00000	0	0.00000
0.425	0	0.00000	0	0.00000
0.430	0	0.00000	0	0.00000
0.435	0	0.00000	0	0.00000
0.440	0	0.00000	0	0.00000
0.445	0	0.00000	0	0.00000
0.450	0	0.00000	0	0.00000
0.455	1	0.02778	1007	0.01523
0.460	1	0.02778	3779	0.05715
0.465	0	0.00000	0	0.00000
0.470	0	0.00000	0	0.00000
0.475	0	0.00000	0	0.00000
0.480	0	0.00000	0	0.00000
0.485	0	0.00000	0	0.00000
0.490	0	0.00000	0	0.00000
0.495	0	0.00000	0	0.00000
0.500	0	0.00000	0	0.00000
0.505	0	0.00000	0	0.00000
0.510	0	0.00000	0	0.00000
0.515	0	0.00000	0	0.00000
0.520	0	0.00000	0	0.00000
0.525	2	0.05556	3948	0.05971
0.530	0	0.00000	0	0.00000
0.535	2	0.05556	2396	0.03623
0.540	1	0.02778	1022	0.01546
0.545	1	0.02778	1226	0.01854
0.550	0	0.00000	0	0.00000
0.555	3	0.08333	3607	0.05455
0.560	3	0.08333	5332	0.08064
0.565	0	0.00000	0	0.00000
0.570	1	0.02778	1283	0.01940
0.575	0	0.00000	0	0.00000
